From,To,Distance,Duration,Duracion_en_horas
Depot,Customer 98,9.3,12:22:00 a. m.,0.3667
Depot,Customer 99,5.88,12:12:00 a. m.,0.2
Depot,Customer 100,5.66,12:11:00 a. m.,0.1833
Depot,Customer 101,6.65,12:14:00 a. m.,0.2333
Depot,Customer 102,7.66,12:16:00 a. m.,0.2667
Depot,Customer 103,8.84,12:21:00 a. m.,0.35
Depot,Customer 104,8.64,12:18:00 a. m.,0.3
Depot,Customer 105,5.59,12:12:00 a. m.,0.2
Depot,Customer 106,8.31,12:18:00 a. m.,0.3
Depot,Customer 107,1.15,12:05:00 a. m.,0.0833
Depot,Customer 108,7.44,12:16:00 a. m.,0.2667
Depot,Customer 109,8.81,12:19:00 a. m.,0.3167
Depot,Customer 110,5.82,12:12:00 a. m.,0.2
Depot,Customer 111,6.33,12:14:00 a. m.,0.2333
Depot,Customer 112,7.12,12:16:00 a. m.,0.2667
Depot,Customer 113,4.07,12:09:00 a. m.,0.15
Depot,Customer 114,5.5,12:13:00 a. m.,0.2167
Depot,Customer 115,8.63,12:19:00 a. m.,0.3167
Depot,Customer 116,2.77,12:09:00 a. m.,0.15
Depot,Customer 117,7.18,12:17:00 a. m.,0.2833
Depot,Customer 118,5.79,12:11:00 a. m.,0.1833
Depot,Customer 119,9.31,12:17:00 a. m.,0.2833
Depot,Customer 120,7.05,12:17:00 a. m.,0.2833
Depot,Customer 121,7.32,12:18:00 a. m.,0.3
Depot,Customer 122,8.36,12:19:00 a. m.,0.3167
Depot,Customer 123,8.53,12:20:00 a. m.,0.3333
Depot,Customer 124,4.37,12:12:00 a. m.,0.2
Depot,Customer 125,8.18,12:19:00 a. m.,0.3167
Depot,Customer 126,7.3,12:17:00 a. m.,0.2833
Depot,Customer 127,2,12:08:00 a. m.,0.1333
Depot,Customer 128,7.65,12:19:00 a. m.,0.3167
Depot,Customer 129,8.34,12:19:00 a. m.,0.3167
Depot,Customer 130,8.18,12:19:00 a. m.,0.3167
Depot,Customer 131,3.76,12:09:00 a. m.,0.15
Depot,Customer 132,4.4,12:09:00 a. m.,0.15
Depot,Customer 133,4.24,12:10:00 a. m.,0.1667
Depot,Customer 134,9.05,12:20:00 a. m.,0.3333
Depot,Customer 135,6.07,12:14:00 a. m.,0.2333
Depot,Customer 136,8.31,12:18:00 a. m.,0.3
Depot,Customer 137,5.03,12:10:00 a. m.,0.1667
Depot,Customer 138,10.53,12:24:00 a. m.,0.4
Depot,Customer 139,7.86,12:18:00 a. m.,0.3
Depot,Customer 140,11.05,12:25:00 a. m.,0.4167
Depot,Customer 141,7.35,12:16:00 a. m.,0.2667
Depot,Customer 142,0.2,12:01:00 a. m.,0.0167
Depot,Customer 143,6.7,12:14:00 a. m.,0.2333
Depot,Customer 144,5.18,12:11:00 a. m.,0.1833
Depot,Customer 145,6.31,12:15:00 a. m.,0.25
Depot,Customer 146,8.59,12:21:00 a. m.,0.35
Depot,Customer 147,8.88,12:20:00 a. m.,0.3333
Depot,Customer 148,7.58,12:16:00 a. m.,0.2667
Depot,Customer 149,5.24,12:13:00 a. m.,0.2167
Customer 1,Depot,6.21,12:15:00 a. m.,0.25
Customer 1,Customer 1,0,12:00:00 a. m.,0
Customer 1,Customer 2,3.59,12:09:00 a. m.,0.15
Customer 1,Customer 3,18.28,12:38:00 a. m.,0.6333
Customer 1,Customer 4,13.68,12:29:00 a. m.,0.4833
Customer 1,Customer 5,9.12,12:16:00 a. m.,0.2667
Customer 1,Customer 6,2.96,12:07:00 a. m.,0.1167
Customer 1,Customer 7,11.12,12:19:00 a. m.,0.3167
Customer 1,Customer 8,7.9,12:19:00 a. m.,0.3167
Customer 1,Customer 9,2.91,12:08:00 a. m.,0.1333
Customer 1,Customer 10,8.33,12:18:00 a. m.,0.3
Customer 1,Customer 11,2.42,12:09:00 a. m.,0.15
Customer 1,Customer 12,6.32,12:16:00 a. m.,0.2667
Customer 1,Customer 13,8.46,12:19:00 a. m.,0.3167
Customer 1,Customer 14,9.73,12:23:00 a. m.,0.3833
Customer 1,Customer 15,9.58,12:20:00 a. m.,0.3333
Customer 1,Customer 16,5.53,12:13:00 a. m.,0.2167
Customer 1,Customer 17,10.41,12:23:00 a. m.,0.3833
Customer 1,Customer 18,5.18,12:12:00 a. m.,0.2
Customer 1,Customer 19,9.12,12:21:00 a. m.,0.35
Customer 1,Customer 20,9.2,12:23:00 a. m.,0.3833
Customer 1,Customer 21,7.49,12:18:00 a. m.,0.3
Customer 1,Customer 22,7.58,12:16:00 a. m.,0.2667
Customer 1,Customer 23,7.75,12:19:00 a. m.,0.3167
Customer 1,Customer 24,6.07,12:13:00 a. m.,0.2167
Customer 1,Customer 25,10.05,12:22:00 a. m.,0.3667
Customer 1,Customer 26,6.5,12:12:00 a. m.,0.2
Customer 1,Customer 27,5.5,12:12:00 a. m.,0.2
Customer 1,Customer 28,3.63,12:09:00 a. m.,0.15
Customer 1,Customer 29,9.53,12:22:00 a. m.,0.3667
Customer 1,Customer 30,5.09,12:13:00 a. m.,0.2167
Customer 1,Customer 31,13.45,12:34:00 a. m.,0.5667
Customer 1,Customer 32,5.46,12:12:00 a. m.,0.2
Customer 1,Customer 33,2.86,12:06:00 a. m.,0.1
Customer 1,Customer 34,3.94,12:10:00 a. m.,0.1667
Customer 1,Customer 35,9.39,12:22:00 a. m.,0.3667
Customer 1,Customer 36,11.66,12:22:00 a. m.,0.3667
Customer 1,Customer 37,12.28,12:27:00 a. m.,0.45
Customer 1,Customer 38,9.94,12:20:00 a. m.,0.3333
Customer 1,Customer 39,13.31,12:32:00 a. m.,0.5333
Customer 1,Customer 40,8.42,12:19:00 a. m.,0.3167
Customer 1,Customer 41,6.01,12:14:00 a. m.,0.2333
Customer 1,Customer 42,14.3,12:34:00 a. m.,0.5667
Customer 1,Customer 43,6.15,12:14:00 a. m.,0.2333
Customer 1,Customer 44,6.8,12:17:00 a. m.,0.2833
Customer 1,Customer 45,2.87,12:10:00 a. m.,0.1667
Customer 1,Customer 46,13.24,12:31:00 a. m.,0.5167
Customer 1,Customer 47,14.51,12:37:00 a. m.,0.6167
Customer 1,Customer 48,5.97,12:13:00 a. m.,0.2167
Customer 1,Customer 49,1.97,12:06:00 a. m.,0.1
Customer 1,Customer 50,4.61,12:13:00 a. m.,0.2167
Customer 1,Customer 51,17.03,12:29:00 a. m.,0.4833
Customer 1,Customer 52,11.33,12:24:00 a. m.,0.4
Customer 1,Customer 53,12.36,12:29:00 a. m.,0.4833
Customer 1,Customer 54,11.27,12:22:00 a. m.,0.3667
Customer 1,Customer 55,8.43,12:14:00 a. m.,0.2333
Customer 1,Customer 56,8.59,12:20:00 a. m.,0.3333
Customer 1,Customer 57,4.6,12:12:00 a. m.,0.2
Customer 1,Customer 58,2.03,12:08:00 a. m.,0.1333
Customer 1,Customer 59,12.1,12:27:00 a. m.,0.45
Customer 1,Customer 60,3.07,12:08:00 a. m.,0.1333
Customer 1,Customer 61,5.41,12:11:00 a. m.,0.1833
Customer 1,Customer 62,9.79,12:21:00 a. m.,0.35
Customer 1,Customer 63,1.76,12:06:00 a. m.,0.1
Customer 1,Customer 64,13.39,12:34:00 a. m.,0.5667
Customer 1,Customer 65,14.6,12:29:00 a. m.,0.4833
Customer 1,Customer 66,9.97,12:25:00 a. m.,0.4167
Customer 1,Customer 67,7.11,12:13:00 a. m.,0.2167
Customer 1,Customer 68,12.09,12:28:00 a. m.,0.4667
Customer 1,Customer 69,10.73,12:20:00 a. m.,0.3333
Customer 1,Customer 70,11.82,12:25:00 a. m.,0.4167
Customer 1,Customer 71,2.88,12:09:00 a. m.,0.15
Customer 1,Customer 72,10.88,12:23:00 a. m.,0.3833
Customer 1,Customer 73,9.58,12:20:00 a. m.,0.3333
Customer 1,Customer 74,9.27,12:20:00 a. m.,0.3333
Customer 1,Customer 75,4.42,12:11:00 a. m.,0.1833
Customer 1,Customer 76,8.03,12:18:00 a. m.,0.3
Customer 1,Customer 77,1.74,12:07:00 a. m.,0.1167
Customer 1,Customer 78,2.43,12:08:00 a. m.,0.1333
Customer 1,Customer 79,3.06,12:09:00 a. m.,0.15
Customer 1,Customer 80,0.67,12:02:00 a. m.,0.0333
Customer 1,Customer 81,12.85,12:26:00 a. m.,0.4333
Customer 1,Customer 82,6.32,12:14:00 a. m.,0.2333
Customer 1,Customer 83,7.71,12:18:00 a. m.,0.3
Customer 1,Customer 84,22.67,12:26:00 a. m.,0.4333
Customer 1,Customer 85,11.34,12:20:00 a. m.,0.3333
Customer 1,Customer 86,11.32,12:22:00 a. m.,0.3667
Customer 1,Customer 87,5.69,12:14:00 a. m.,0.2333
Customer 1,Customer 88,6.87,12:14:00 a. m.,0.2333
Customer 1,Customer 89,2.51,12:08:00 a. m.,0.1333
Customer 1,Customer 90,13.45,12:29:00 a. m.,0.4833
Customer 1,Customer 91,6.32,12:12:00 a. m.,0.2
Customer 1,Customer 92,2.25,12:05:00 a. m.,0.0833
Customer 1,Customer 93,2.18,12:06:00 a. m.,0.1
Customer 1,Customer 94,1.89,12:07:00 a. m.,0.1167
Customer 1,Customer 95,2.94,12:11:00 a. m.,0.1833
Customer 1,Customer 96,9.61,12:17:00 a. m.,0.2833
Customer 1,Customer 97,11.48,12:24:00 a. m.,0.4
Customer 1,Customer 98,8.75,12:16:00 a. m.,0.2667
Customer 1,Customer 99,9.96,12:18:00 a. m.,0.3
Customer 1,Customer 100,12.09,12:21:00 a. m.,0.35
Customer 1,Customer 101,9.11,12:21:00 a. m.,0.35
Customer 1,Customer 102,12.07,12:25:00 a. m.,0.4167
Customer 1,Customer 103,12.98,12:32:00 a. m.,0.5333
Customer 1,Customer 104,14.45,12:31:00 a. m.,0.5167
Customer 1,Customer 105,8.39,12:18:00 a. m.,0.3
Customer 1,Customer 106,2.96,12:07:00 a. m.,0.1167
Customer 1,Customer 107,6.34,12:16:00 a. m.,0.2667
Customer 1,Customer 108,11.52,12:28:00 a. m.,0.4667
Customer 1,Customer 109,14.62,12:32:00 a. m.,0.5333
Customer 1,Customer 110,11.8,12:23:00 a. m.,0.3833
Customer 1,Customer 111,5.71,12:14:00 a. m.,0.2333
Customer 1,Customer 112,6.17,12:14:00 a. m.,0.2333
Customer 1,Customer 113,9.88,12:22:00 a. m.,0.3667
Customer 1,Customer 114,6.71,12:14:00 a. m.,0.2333
Customer 1,Customer 115,10.78,12:27:00 a. m.,0.45
Customer 1,Customer 116,7.22,12:18:00 a. m.,0.3
Customer 1,Customer 117,12.99,12:30:00 a. m.,0.5
Customer 1,Customer 118,11.6,12:24:00 a. m.,0.4
Customer 1,Customer 119,14.19,12:30:00 a. m.,0.5
Customer 1,Customer 120,12.86,12:29:00 a. m.,0.4833
Customer 1,Customer 121,12.59,12:29:00 a. m.,0.4833
Customer 1,Customer 122,11.99,12:31:00 a. m.,0.5167
Customer 1,Customer 123,10.9,12:20:00 a. m.,0.3333
Customer 1,Customer 124,3.59,12:09:00 a. m.,0.15
Customer 1,Customer 125,2.78,12:09:00 a. m.,0.15
Customer 1,Customer 126,11,12:29:00 a. m.,0.4833
Customer 1,Customer 127,5.06,12:12:00 a. m.,0.2
Customer 1,Customer 128,7.83,12:17:00 a. m.,0.2833
Customer 1,Customer 129,7.04,12:13:00 a. m.,0.2167
Customer 1,Customer 130,13.99,12:31:00 a. m.,0.5167
Customer 1,Customer 131,9.57,12:22:00 a. m.,0.3667
Customer 1,Customer 132,9.56,12:19:00 a. m.,0.3167
Customer 1,Customer 133,4.68,12:12:00 a. m.,0.2
Customer 1,Customer 134,14.86,12:32:00 a. m.,0.5333
Customer 1,Customer 135,10.47,12:24:00 a. m.,0.4
Customer 1,Customer 136,12.72,12:27:00 a. m.,0.45
Customer 1,Customer 137,6.5,12:15:00 a. m.,0.25
Customer 1,Customer 138,14.09,12:35:00 a. m.,0.5833
Customer 1,Customer 139,8.25,12:18:00 a. m.,0.3
Customer 1,Customer 140,18.28,12:38:00 a. m.,0.6333
Customer 1,Customer 141,9.81,12:24:00 a. m.,0.4
Customer 1,Customer 142,6.01,12:14:00 a. m.,0.2333
Customer 1,Customer 143,5,12:11:00 a. m.,0.1833
Customer 1,Customer 144,9.59,12:20:00 a. m.,0.3333
Customer 1,Customer 145,11.59,12:27:00 a. m.,0.45
Customer 1,Customer 146,13.87,12:32:00 a. m.,0.5333
Customer 1,Customer 147,9.42,12:17:00 a. m.,0.2833
Customer 1,Customer 148,11.98,12:25:00 a. m.,0.4167
Customer 1,Customer 149,0.78,12:03:00 a. m.,0.05
Customer 2,Depot,4.2,12:12:00 a. m.,0.2
Customer 2,Customer 1,3.68,12:10:00 a. m.,0.1667
Customer 2,Customer 2,0,12:00:00 a. m.,0
Customer 2,Customer 3,25.5,12:32:00 a. m.,0.5333
Customer 2,Customer 4,10.64,12:23:00 a. m.,0.3833
Customer 2,Customer 5,8.03,12:22:00 a. m.,0.3667
Customer 2,Customer 6,4.88,12:12:00 a. m.,0.2
Customer 2,Customer 7,10.92,12:24:00 a. m.,0.4
Customer 2,Customer 8,5.89,12:16:00 a. m.,0.2667
Customer 2,Customer 9,6.05,12:15:00 a. m.,0.25
Customer 2,Customer 10,5.28,12:12:00 a. m.,0.2
Customer 2,Customer 11,4.05,12:12:00 a. m.,0.2
Customer 2,Customer 12,4.31,12:12:00 a. m.,0.2
Customer 2,Customer 13,6.81,12:18:00 a. m.,0.3
Customer 2,Customer 14,8.41,12:19:00 a. m.,0.3167
Customer 2,Customer 15,6.48,12:13:00 a. m.,0.2167
Customer 2,Customer 16,4.53,12:12:00 a. m.,0.2
Customer 2,Customer 17,7.36,12:17:00 a. m.,0.2833
Customer 2,Customer 18,3.18,12:09:00 a. m.,0.15
Customer 2,Customer 19,7.12,12:17:00 a. m.,0.2833
Customer 2,Customer 20,7.98,12:19:00 a. m.,0.3167
Customer 2,Customer 21,5.07,12:12:00 a. m.,0.2
Customer 2,Customer 22,4.53,12:10:00 a. m.,0.1667
Customer 2,Customer 23,6.54,12:15:00 a. m.,0.25
Customer 2,Customer 24,4.86,12:12:00 a. m.,0.2
Customer 2,Customer 25,8.66,12:18:00 a. m.,0.3
Customer 2,Customer 26,6.66,12:17:00 a. m.,0.2833
Customer 2,Customer 27,3.65,12:09:00 a. m.,0.15
Customer 2,Customer 28,2.21,12:06:00 a. m.,0.1
Customer 2,Customer 29,7.52,12:18:00 a. m.,0.3
Customer 2,Customer 30,2.67,12:08:00 a. m.,0.1333
Customer 2,Customer 31,11.45,12:31:00 a. m.,0.5167
Customer 2,Customer 32,3.61,12:09:00 a. m.,0.15
Customer 2,Customer 33,6,12:13:00 a. m.,0.2167
Customer 2,Customer 34,7.08,12:17:00 a. m.,0.2833
Customer 2,Customer 35,7.38,12:19:00 a. m.,0.3167
Customer 2,Customer 36,8.44,12:21:00 a. m.,0.35
Customer 2,Customer 37,10.27,12:24:00 a. m.,0.4
Customer 2,Customer 38,6.84,12:14:00 a. m.,0.2333
Customer 2,Customer 39,11.3,12:29:00 a. m.,0.4833
Customer 2,Customer 40,6,12:13:00 a. m.,0.2167
Customer 2,Customer 41,4,12:10:00 a. m.,0.1667
Customer 2,Customer 42,12.29,12:30:00 a. m.,0.5
Customer 2,Customer 43,4.14,12:11:00 a. m.,0.1833
Customer 2,Customer 44,6.01,12:12:00 a. m.,0.2
Customer 2,Customer 45,4.12,12:11:00 a. m.,0.1833
Customer 2,Customer 46,11.23,12:28:00 a. m.,0.4667
Customer 2,Customer 47,12.5,12:34:00 a. m.,0.5667
Customer 2,Customer 48,2.87,12:06:00 a. m.,0.1
Customer 2,Customer 49,5.34,12:11:00 a. m.,0.1833
Customer 2,Customer 50,3.06,12:09:00 a. m.,0.15
Customer 2,Customer 51,20.17,12:36:00 a. m.,0.6
Customer 2,Customer 52,8.29,12:19:00 a. m.,0.3167
Customer 2,Customer 53,10.35,12:25:00 a. m.,0.4167
Customer 2,Customer 54,9.29,12:22:00 a. m.,0.3667
Customer 2,Customer 55,11.57,12:21:00 a. m.,0.35
Customer 2,Customer 56,6.61,12:18:00 a. m.,0.3
Customer 2,Customer 57,3.07,12:08:00 a. m.,0.1333
Customer 2,Customer 58,2.52,12:08:00 a. m.,0.1333
Customer 2,Customer 59,10.1,12:23:00 a. m.,0.3833
Customer 2,Customer 60,1.56,12:04:00 a. m.,0.0667
Customer 2,Customer 61,5.69,12:15:00 a. m.,0.25
Customer 2,Customer 62,6.74,12:16:00 a. m.,0.2667
Customer 2,Customer 63,3.02,12:08:00 a. m.,0.1333
Customer 2,Customer 64,11.38,12:31:00 a. m.,0.5167
Customer 2,Customer 65,12.59,12:26:00 a. m.,0.4333
Customer 2,Customer 66,7.96,12:22:00 a. m.,0.3667
Customer 2,Customer 67,6.75,12:18:00 a. m.,0.3
Customer 2,Customer 68,10.09,12:25:00 a. m.,0.4167
Customer 2,Customer 69,7.63,12:13:00 a. m.,0.2167
Customer 2,Customer 70,8.77,12:19:00 a. m.,0.3167
Customer 2,Customer 71,2.63,12:08:00 a. m.,0.1333
Customer 2,Customer 72,8.53,12:18:00 a. m.,0.3
Customer 2,Customer 73,6.48,12:13:00 a. m.,0.2167
Customer 2,Customer 74,6.23,12:14:00 a. m.,0.2333
Customer 2,Customer 75,5.56,12:13:00 a. m.,0.2167
Customer 2,Customer 76,4.99,12:12:00 a. m.,0.2
Customer 2,Customer 77,4.88,12:14:00 a. m.,0.2333
Customer 2,Customer 78,4.23,12:09:00 a. m.,0.15
Customer 2,Customer 79,6.2,12:16:00 a. m.,0.2667
Customer 2,Customer 80,4.23,12:12:00 a. m.,0.2
Customer 2,Customer 81,9.8,12:20:00 a. m.,0.3333
Customer 2,Customer 82,4.38,12:11:00 a. m.,0.1833
Customer 2,Customer 83,4.61,12:11:00 a. m.,0.1833
Customer 2,Customer 84,15.31,12:28:00 a. m.,0.4667
Customer 2,Customer 85,11,12:25:00 a. m.,0.4167
Customer 2,Customer 86,8.16,12:20:00 a. m.,0.3333
Customer 2,Customer 87,2.72,12:08:00 a. m.,0.1333
Customer 2,Customer 88,3.77,12:08:00 a. m.,0.1333
Customer 2,Customer 89,4.45,12:10:00 a. m.,0.1667
Customer 2,Customer 90,12.55,12:22:00 a. m.,0.3667
Customer 2,Customer 91,5.51,12:14:00 a. m.,0.2333
Customer 2,Customer 92,5.39,12:12:00 a. m.,0.2
Customer 2,Customer 93,5.31,12:13:00 a. m.,0.2167
Customer 2,Customer 94,3.15,12:08:00 a. m.,0.1333
Customer 2,Customer 95,3.84,12:11:00 a. m.,0.1833
Customer 2,Customer 96,7.83,12:21:00 a. m.,0.35
Customer 2,Customer 97,8.43,12:18:00 a. m.,0.3
Customer 2,Customer 98,11.89,12:23:00 a. m.,0.3833
Customer 2,Customer 99,6.86,12:12:00 a. m.,0.2
Customer 2,Customer 100,8.99,12:14:00 a. m.,0.2333
Customer 2,Customer 101,7.9,12:18:00 a. m.,0.3
Customer 2,Customer 102,9.02,12:19:00 a. m.,0.3167
Customer 2,Customer 103,10.98,12:29:00 a. m.,0.4833
Customer 2,Customer 104,12.45,12:27:00 a. m.,0.45
Customer 2,Customer 105,5.29,12:11:00 a. m.,0.1833
Customer 2,Customer 106,4.88,12:12:00 a. m.,0.2
Customer 2,Customer 107,4.33,12:12:00 a. m.,0.2
Customer 2,Customer 108,9.51,12:24:00 a. m.,0.4
Customer 2,Customer 109,14.21,12:25:00 a. m.,0.4167
Customer 2,Customer 110,8.69,12:16:00 a. m.,0.2667
Customer 2,Customer 111,4.55,12:12:00 a. m.,0.2
Customer 2,Customer 112,4.82,12:13:00 a. m.,0.2167
Customer 2,Customer 113,7.87,12:19:00 a. m.,0.3167
Customer 2,Customer 114,3.61,12:07:00 a. m.,0.1167
Customer 2,Customer 115,10.1,12:22:00 a. m.,0.3667
Customer 2,Customer 116,5.22,12:14:00 a. m.,0.2333
Customer 2,Customer 117,10.98,12:26:00 a. m.,0.4333
Customer 2,Customer 118,9.15,12:17:00 a. m.,0.2833
Customer 2,Customer 119,11.66,12:24:00 a. m.,0.4
Customer 2,Customer 120,12.33,12:23:00 a. m.,0.3833
Customer 2,Customer 121,10.59,12:26:00 a. m.,0.4333
Customer 2,Customer 122,9.98,12:27:00 a. m.,0.45
Customer 2,Customer 123,9.05,12:22:00 a. m.,0.3667
Customer 2,Customer 124,0,12:00:00 a. m.,0
Customer 2,Customer 125,4.48,12:10:00 a. m.,0.1667
Customer 2,Customer 126,8.99,12:26:00 a. m.,0.4333
Customer 2,Customer 127,2.09,12:06:00 a. m.,0.1
Customer 2,Customer 128,5.81,12:17:00 a. m.,0.2833
Customer 2,Customer 129,6.56,12:17:00 a. m.,0.2833
Customer 2,Customer 130,13.85,12:24:00 a. m.,0.4
Customer 2,Customer 131,7.56,12:18:00 a. m.,0.3
Customer 2,Customer 132,6.46,12:12:00 a. m.,0.2
Customer 2,Customer 133,2.27,12:06:00 a. m.,0.1
Customer 2,Customer 134,12.86,12:29:00 a. m.,0.4833
Customer 2,Customer 135,7.43,12:18:00 a. m.,0.3
Customer 2,Customer 136,9.78,12:21:00 a. m.,0.35
Customer 2,Customer 137,4.09,12:10:00 a. m.,0.1667
Customer 2,Customer 138,12.09,12:32:00 a. m.,0.5333
Customer 2,Customer 139,6.83,12:19:00 a. m.,0.3167
Customer 2,Customer 140,25.5,12:32:00 a. m.,0.5333
Customer 2,Customer 141,8.6,12:20:00 a. m.,0.3333
Customer 2,Customer 142,4,12:10:00 a. m.,0.1667
Customer 2,Customer 143,4.92,12:12:00 a. m.,0.2
Customer 2,Customer 144,6.65,12:15:00 a. m.,0.25
Customer 2,Customer 145,9.58,12:23:00 a. m.,0.3833
Customer 2,Customer 146,11.86,12:29:00 a. m.,0.4833
Customer 2,Customer 147,7.85,12:21:00 a. m.,0.35
Customer 2,Customer 148,9.05,12:20:00 a. m.,0.3333
Customer 2,Customer 149,3.03,12:08:00 a. m.,0.1333
Customer 3,Depot,11.69,12:22:00 a. m.,0.3667
